iter	Passed	Remaining
1115	9042	39571
1116	9049	39559
1117	9056	39547
1118	9060	39521
1119	9067	39510
1120	9075	39500
1121	9175	39890
1122	9205	39977
1123	9213	39968
1124	9221	39958
1125	9229	39948
1126	9236	39937
1127	9244	39927
1128	9252	39918
1129	9260	39910
1130	9268	39900
1131	9276	39890
1132	9283	39879
1133	9291	39871
1134	9299	39861
1135	9306	39849
1136	9314	39838
1137	9322	39829
1138	9330	39819
1139	9337	39807
1140	9345	39797
1141	9353	39789
1142	9360	39777
1143	9368	39766
1144	9375	39755
1145	9383	39745
1146	9390	39732
1147	9398	39721
1148	9405	39709
1149	9412	39696
1150	9419	39685
1151	9427	39672
1152	9434	39659
1153	9440	39645
1154	9448	39633
1155	9455	39619
1156	9462	39606
1157	9469	39595
1158	9476	39581
1159	9484	39571
1160	9491	39560
1161	9500	39553
1162	9507	39541
1163	9514	39528
1164	9521	39515
1165	9528	39504
1166	9535	39490
1167	9543	39479
1168	9549	39465
1169	9556	39452
1170	9564	39440
1171	9571	39427
1172	9578	39414
1173	9585	39401
1174	9592	39389
1175	9599	39376
1176	9606	39362
1177	9612	39349
1178	9620	39337
1179	9626	39323
1180	9634	39311
1181	9641	39298
1182	9648	39285
1183	9655	39274
1184	9662	39261
1185	9669	39249
1186	9676	39237
1187	9684	39229
1188	9692	39217
1189	9699	39206
1190	9706	39194
1191	9714	39184
1192	9721	39172
1193	9728	39159
1194	9736	39148
1195	9743	39136
1196	9751	39126
1197	9758	39116
1198	9767	39109
1199	9774	39099
1200	9782	39089
1201	9789	39077
1202	9797	39068
1203	9804	39056
1204	9812	39046
1205	9819	39033
1206	9826	39021
1207	9833	39008
1208	9840	38995
1209	9848	38985
1210	9855	38973
1211	9862	38962
1212	9869	38949
1213	9877	38940
1214	9884	38929
1215	9892	38918
1216	9899	38906
1217	9907	38899
1218	9914	38886
1219	9922	38875
1220	9929	38865
1221	9937	38854
1222	9944	38841
1223	9951	38830
1224	9958	38818
1225	9966	38807
1226	9973	38796
1227	9980	38785
1228	9988	38773
1229	9995	38761
1230	10002	38749
1231	10009	38736
1232	10016	38725
1233	10023	38713
1234	10031	38703
1235	10038	38692
1236	10046	38682
1237	10053	38670
1238	10060	38659
1239	10067	38648
1240	10075	38637
1241	10082	38626
1242	10089	38614
1243	10097	38604
1244	10104	38592
1245	10112	38582
1246	10119	38571
1247	10126	38559
1248	10134	38548
1249	10141	38537
1250	10149	38527
1251	10156	38517
1252	10240	38795
1253	10303	38993
1254	10311	38985
